componentName,componentDescription,componentId,name,label,query,metricId,panelName,metricName,promQLFunction,yvalueLabel,yvalueUnit,color,panelDescription,
Ecommerce Apache,This dashboard contains all the graphs of Ecommerce Apache,63,apache_farm,Farm,label_values(apache_farm),852777,Total Accesses,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,
Ecommerce Apache,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852777,Total Accesses,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache1,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852777,Total Accesses,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache1,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852777,Total Accesses,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache1,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852777,Total Accesses,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache2,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache2,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache3,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache4,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache4,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache3,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache5,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
Ecommerce Apache5,This dashboard contains all the graphs of Ecommerce Apache,63,apache_url,URL,label_values({apache_farm=~'$apache_farm'},852783,BytesPerReq,apache_throughput_count,rate(metric_name[$interval] offset_string),value,Count,#3399FF,This graph represents metric of Ecommerce Apache,This graph represents metric of Ecommerce Apache
